Date,fold,strategy,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage
2024-07-01,1,elasticnet,0.11869975600706949,,,1.0,0.06544841879280588,0.06544841879280588,1,0.11869975600706949,1,348,350,2,0.9942857142857143
2024-07-01,1,base_lgbm,-0.0848236489749956,,,0.0,,-0.036926293814894214,0,-0.0848236489749956,1,348,350,2,0.9942857142857143
2024-07-01,1,elasticnet_lgbm_equal,0.01244443381425606,,,1.0,,-0.006265599728503517,0,0.01244443381425606,1,348,350,2,0.9942857142857143
2024-07-01,1,elasticnet_lgbm_lstm_equal,0.029210191840130066,,,1.0,,0.016437168223748827,0,0.029210191840130066,1,348,350,2,0.9942857142857143
2024-07-01,1,original_40_40_20,-0.012137879742099242,,,0.0,,-0.006288646533493144,0,-0.012137879742099242,1,348,350,2,0.9942857142857143
2024-07-01,1,cv_locked_relu_4model,-0.022334365132900547,,,0.0,,-0.006421804091216383,0,-0.022334365132900547,1,348,350,2,0.9942857142857143
2024-12-19,2,elasticnet,0.00585068729527011,,,1.0,-0.020843975280392495,-0.020843975280392495,1,0.00585068729527011,1,364,364,0,1.0
2024-12-19,2,base_lgbm,0.02540722367181381,,,1.0,0.023305664029464185,0.023305664029464185,1,0.02540722367181381,1,364,364,0,1.0
2024-12-19,2,elasticnet_lgbm_equal,0.015767460837215006,,,1.0,-0.005791498557181657,-0.005791498557181657,1,0.015767460837215006,1,364,364,0,1.0
2024-12-19,2,elasticnet_lgbm_lstm_equal,0.008120165005949144,,,1.0,-0.0026774484580752065,-0.0026774484580752065,1,0.008120165005949144,1,364,364,0,1.0
2024-12-19,2,original_40_40_20,0.0018764579545241381,,,1.0,0.0032840652008256453,0.0032840652008256453,1,0.0018764579545241381,1,364,364,0,1.0
2024-12-19,2,cv_locked_relu_4model,0.027281311465620302,,,1.0,-0.003035921332359288,-0.003035921332359288,1,0.027281311465620302,1,364,364,0,1.0
2025-06-16,3,elasticnet,0.08760241041578913,,,1.0,,0.018797007225060405,0,0.08760241041578913,1,233,236,3,0.9872881355932204
2025-06-16,3,base_lgbm,-0.05820204719532965,,,0.0,,-0.04669840422547253,0,-0.05820204719532965,1,233,236,3,0.9872881355932204
2025-06-16,3,elasticnet_lgbm_equal,0.020777701645781667,,,1.0,,-0.020606991311447276,0,0.020777701645781667,1,233,236,3,0.9872881355932204
2025-06-16,3,elasticnet_lgbm_lstm_equal,0.04578647808060335,,,1.0,,-0.02631552924352018,0,0.04578647808060335,1,233,236,3,0.9872881355932204
2025-06-16,3,original_40_40_20,-0.033039492945451186,,,0.0,,-0.01813589601851738,0,-0.033039492945451186,1,233,236,3,0.9872881355932204
2025-06-16,3,cv_locked_relu_4model,0.04116528728042714,,,1.0,-0.011152696804601292,-0.011152696804601292,1,0.04116528728042714,1,233,236,3,0.9872881355932204
2025-12-05,4,elasticnet,0.04498577120091064,,,1.0,,0.020742589081670565,0,0.04498577120091064,1,251,254,3,0.9881889763779528
2025-12-05,4,base_lgbm,0.0286129405160285,,,1.0,,0.01779425550481442,0,0.0286129405160285,1,251,254,3,0.9881889763779528
2025-12-05,4,elasticnet_lgbm_equal,0.03452574623508447,,,1.0,,0.01201769691443176,0,0.03452574623508447,1,251,254,3,0.9881889763779528
2025-12-05,4,elasticnet_lgbm_lstm_equal,0.04916538369983017,,,1.0,,0.01778047365247104,0,0.04916538369983017,1,251,254,3,0.9881889763779528
2025-12-05,4,original_40_40_20,0.004685271408439923,,,1.0,,0.002428369002598074,0,0.004685271408439923,1,251,254,3,0.9881889763779528
2025-12-05,4,cv_locked_relu_4model,-0.006857901726427623,,,0.0,,0.042223885242105255,0,-0.006857901726427623,1,251,254,3,0.9881889763779528
