fold,Date,case,selected_epochs,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage
1,2024-07-01,lstm,3.0,0.033667550591730544,,,1.0,,0.027171236915218052,0,0.033667550591730544,1,348,350,2,0.9942857142857143
1,2024-07-01,same_endpoint_lgbm,,-0.0848236489749956,,,0.0,,-0.036926293814894214,0,-0.0848236489749956,1,348,350,2,0.9942857142857143
2,2024-12-19,lstm,2.0,-0.012423193245111054,,,0.0,-0.009651660190434112,-0.009651660190434112,1,-0.012423193245111054,1,364,364,0,1.0
2,2024-12-19,same_endpoint_lgbm,,0.02540722367181381,,,1.0,0.023305664029464185,0.023305664029464185,1,0.02540722367181381,1,364,364,0,1.0
3,2025-06-16,lstm,3.0,0.08480379321729033,,,1.0,,0.005310697944925141,0,0.08480379321729033,1,233,236,3,0.9872881355932204
3,2025-06-16,same_endpoint_lgbm,,-0.05820204719532965,,,0.0,,-0.04669840422547253,0,-0.05820204719532965,1,233,236,3,0.9872881355932204
4,2025-12-05,lstm,1.0,0.07672320242838171,,,1.0,,0.04949052919462128,0,0.07672320242838171,1,251,254,3,0.9881889763779528
4,2025-12-05,same_endpoint_lgbm,,0.0286129405160285,,,1.0,,0.01779425550481442,0,0.0286129405160285,1,251,254,3,0.9881889763779528
