model,mean_cv_ic,selected_relu_weight
elasticnet,0.007659603256853361,0.3334518160964445
mlp,0.014770665746819019,0.6430235552766359
macro,-0.04800525952811016,0.0
lstm,0.0005403758904551983,0.023524628626919678
