Date,fold,strategy,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage
2024-07-01,1,cv_locked_relu_4model,-0.022334365132900547,,,0.0,,-0.006421804091216383,0,-0.022334365132900547,1,348,350,2,0.9942857142857143
2024-12-19,2,cv_locked_relu_4model,0.027281311465620302,,,1.0,-0.003035921332359288,-0.003035921332359288,1,0.027281311465620302,1,364,364,0,1.0
2025-06-16,3,cv_locked_relu_4model,0.04116528728042714,,,1.0,-0.011152696804601292,-0.011152696804601292,1,0.04116528728042714,1,233,236,3,0.9872881355932204
2025-12-05,4,cv_locked_relu_4model,-0.006857901726427623,,,0.0,,0.042223885242105255,0,-0.006857901726427623,1,251,254,3,0.9881889763779528
