Date,Ticker,Close,eligible_signal,label_available_at,target_excess_simple_20d_next_close,target_simple_20d_next_close,target_end_20d_next_close,vol_ann_120d,ma_gap_20d,momentum_20d,relative_momentum_20d,rsi_14d,risk_rank,stability_group,stable,Sector,pred_all_train,pred_stable_train,horizon,strategy,top_n,target_excess_simple_60d_next_close,target_simple_60d_next_close,target_end_60d_next_close,ma_gap_60d,momentum_60d,relative_momentum_60d,rsi_28d,target_excess_simple_120d_next_close,target_simple_120d_next_close,target_end_120d_next_close,ma_gap_120d,momentum_120d,relative_momentum_120d,rsi_56d
2024-07-01,KO,59.7886962890625,True,2024-07-31,0.05443625854584757,0.05684867703894558,2024-07-31,0.11410679,0.0021324374,0.013364196,-0.023478651,52.094093,1,Stable,True,Consumer Staples,-0.0007569147093694035,-0.0014904246686521898,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,RSG,188.16195678710938,True,2024-07-31,0.003592927919004583,0.006005346412102597,2024-07-31,0.116428845,0.013826613,0.041524906,0.00393156,70.873764,1,Stable,True,Industrials,-0.00136049063453792,0.0010327725163090343,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,BRK-B,405.19000244140625,True,2024-07-31,0.07471849142022702,0.07713090991332504,2024-07-31,0.117734775,-0.010247077,-0.022224883,-0.05922991,37.803818,1,Stable,True,Financials,0.00019858673323465488,-0.002735154500674512,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,TMUS,173.34603881835938,True,2024-07-31,0.010367000186947382,0.012779418680045396,2024-07-31,0.11841326,0.009595314,0.023548154,-0.013479161,46.032494,1,Stable,True,Communication Services,-0.0014297218128561185,-0.0013560913115581263,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,PG,153.25160217285156,True,2024-07-31,-0.015671180638931786,-0.01325876214583377,2024-07-31,0.12654345,-0.024299614,-0.011061132,-0.047877096,33.934807,1,Stable,True,Consumer Staples,-0.0015024563127932374,-0.00340571653270983,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,CL,90.70040893554688,True,2024-07-31,0.034791263373212165,0.03720368186631018,2024-07-31,0.12806152,-0.00069558347,0.027753968,-0.009378527,57.884563,1,Stable,True,Consumer Staples,-0.0014297218128561185,-0.0004741461986760566,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,V,258.8112487792969,True,2024-07-31,-0.011956490175180612,-0.009544071682082598,2024-07-31,0.13798496,-0.033529483,-0.03383982,-0.07117998,30.134787,1,Stable,True,Financials,-0.0011301183810271964,-0.0032675398141536038,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,LMT,442.5189514160156,True,2024-07-31,0.1612553444296308,0.1636677629227288,2024-07-31,0.13818398,0.0023498482,-0.0016053675,-0.03836099,48.154858,1,Stable,True,Industrials,-0.0005635421721176246,-0.0006494189203348798,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,L,74.28812408447266,True,2024-07-31,0.06444087061998727,0.06685328911308529,2024-07-31,0.14196333,-0.0076883193,-0.026953345,-0.064077586,46.792862,1,Stable,True,Financials,0.0012481454729694167,-0.0005489494706634171,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,ITW,222.30812072753906,True,2024-07-31,0.04756437443911012,0.049976792932208136,2024-07-31,0.14328396,-0.019576872,-0.032771625,-0.070074975,43.23316,1,Stable,True,Industrials,0.0012970736306485795,-0.0010910361621793237,20,lowvol,10,,,,,,,,,,,,,,
2024-07-01,KO,59.7886962890625,True,2024-07-31,0.05443625854584757,0.05684867703894558,2024-07-31,0.11410679,0.0021324374,0.013364196,-0.023478651,52.094093,1,Stable,True,Consumer Staples,-0.0007569147093694035,-0.0014904246686521898,20,stable_lowvol,10,,,,,,,,,,,,,,
2024-07-01,RSG,188.16195678710938,True,2024-07-31,0.003592927919004583,0.006005346412102597,2024-07-31,0.116428845,0.013826613,0.041524906,0.00393156,70.873764,1,Stable,True,Industrials,-0.00136049063453792,0.0010327725163090343,20,stable_lowvol,10,,,,,,,,,,,,,,
2024-07-01,BRK-B,405.19000244140625,True,2024-07-31,0.07471849142022702,0.07713090991332504,2024-07-31,0.117734775,-0.010247077,-0.022224883,-0.05922991,37.803818,1,Stable,True,Financials,0.00019858673323465488,-0.002735154500674512,20,stable_lowvol,10,,,,,,,,,,,,,,
2024-07-01,TMUS,173.34603881835938,True,2024-07-31,0.010367000186947382,0.012779418680045396,2024-07-31,0.11841326,0.009595314,0.023548154,-0.013479161,46.032494,1,Stable,True,Communication Services,-0.0014297218128561185,-0.0013560913115581263,20,stable_lowvol,10,,,,,,,,,,,,,,
