Date,model,daily_ic
2020-01-02,elasticnet,0.1347011298240383
2020-01-02,mlp,0.09791149128558367
2020-01-02,macro,0.05311603152466766
2020-01-02,lstm,0.05431583046706594
2020-01-31,elasticnet,0.17681740622559844
2020-01-31,mlp,0.1650525869299066
2020-01-31,macro,-0.047867997166066295
2020-01-31,lstm,0.11010382424108048
2020-03-02,elasticnet,0.10067366999057929
2020-03-02,mlp,0.06362004301533977
2020-03-02,macro,-0.044387721332113356
2020-03-02,lstm,-0.14862510887146949
2020-03-30,elasticnet,-0.19247783906395935
2020-03-30,mlp,0.1267430103057361
2020-03-30,macro,0.14281491647052622
2020-03-30,lstm,-0.14980916516767478
2020-04-28,elasticnet,-0.07188900130076599
2020-04-28,mlp,-0.08269202975085327
2020-04-28,macro,0.08109964069732624
2020-04-28,lstm,-0.021050173991350462
2020-05-27,elasticnet,-0.005345844007531096
2020-05-27,mlp,-0.016541662808522897
2020-05-27,macro,0.026177483361511315
2020-05-27,lstm,0.09050279329608937
2021-01-04,elasticnet,0.06471050527305611
2021-01-04,mlp,-0.09826176184936185
2021-01-04,macro,0.030664963520836135
2021-01-04,lstm,0.10997676629362325
2021-02-02,elasticnet,0.004666920797706053
2021-02-02,mlp,-0.07472547378353013
2021-02-02,macro,0.15288390438903846
2021-02-02,lstm,0.06868405573233034
2021-03-03,elasticnet,0.03583155015220537
2021-03-03,mlp,0.00784893569590664
2021-03-03,macro,-0.008545541850947962
2021-03-03,lstm,-0.009154992550312158
2021-03-31,elasticnet,-0.17983803950762628
2021-03-31,mlp,0.13778111528540019
2021-03-31,macro,-0.1207761748563689
2021-03-31,lstm,0.054024341683835124
2021-04-29,elasticnet,-0.01979363051219797
2021-04-29,mlp,0.1133749040541888
2021-04-29,macro,0.09157402134052135
2021-04-29,lstm,0.17966543995164255
2021-05-27,elasticnet,0.02386167856263844
2021-05-27,mlp,0.050383249534123264
2021-05-27,macro,0.14129035477983293
2021-05-27,lstm,0.07924123624345135
2022-01-03,elasticnet,0.014819090908429127
2022-01-03,mlp,-0.1084915858691229
2022-01-03,macro,-0.3618510275174242
2022-01-03,lstm,-0.22830514063831936
2022-02-01,elasticnet,0.24069951624641464
2022-02-01,mlp,0.22504816130827518
2022-02-01,macro,-0.2744609878762423
2022-02-01,lstm,0.19640823665396634
2022-03-02,elasticnet,-0.04536431310624859
2022-03-02,mlp,-0.14540942928039702
2022-03-02,macro,-0.12302776359282408
2022-03-02,lstm,-0.07132867132867134
2022-03-30,elasticnet,-0.08041778738675655
2022-03-30,mlp,0.025645544278619856
2022-03-30,macro,-0.2598750505140779
2022-03-30,lstm,-0.07847343477176352
2022-04-28,elasticnet,-0.15104910056269497
2022-04-28,mlp,-0.03758750603350254
2022-04-28,macro,-0.2702745605352583
2022-04-28,lstm,-0.19356253624150857
2022-05-26,elasticnet,0.0872669460904755
2022-05-26,mlp,-0.1838276088750472
2022-05-26,macro,-0.0726491623489197
2022-05-26,lstm,-0.032886534973821505
