year,mean_price_coverage,min_price_coverage,mean_missing_securities
2016,0.9308578534822821,0.9146825396825397,34.94047619047619
2017,0.9491239581474622,0.9387351778656127,25.741035856573706
2018,0.9582884437116989,0.9564356435643564,21.09163346613546
2019,0.965016501650165,0.9584158415841584,17.666666666666668
2020,0.9733577679867291,0.9683168316831683,13.454545454545455
2021,0.9803866100895804,0.9742574257425742,9.904761904761905
2022,0.9852674206297329,0.9821782178217822,7.422310756972111
2023,0.9889701789264413,0.9860834990059643,5.548
2024,0.9926552269902881,0.9900596421471173,3.6944444444444446
2025,0.9939961185269336,0.9920477137176938,3.02
2026,0.9962340744537806,0.9940357852882704,1.8943089430894309
