lookback,rows,dates,stable_n,false_stable_rate,mean_future_mdd
20,9742,20,5436,0.18579838116261957,-0.16182238704471077
30,9739,20,4951,0.16420925065643305,-0.16078728558858915
60,9728,20,4672,0.13591609589041095,-0.15469279692031662
120,9717,20,4281,0.12824106517168885,-0.15422108320325545
252,8762,18,3477,0.10756399194708081,-0.1556478390494811
