Date,EntryDate,ExitDate,strategy,top_n,selected,status,return_settled,mdd,missing_weight,path_coverage,assumption_flat,assumption_loss50,assumption_loss100,selection_return,selection_mdd,selection_path_status,assumed_holdings,selection_basis
2024-07-01,2024-07-02,2024-12-20,elasticnet,10,10,settled_path,0.10499158821733456,-0.0649276067219563,0.0,1.0,0.10499158821733456,0.10499158821733456,0.10499158821733456,0.10499158821733456,-0.0649276067219563,settled_path,0,observed_path
2024-07-01,2024-07-02,2024-12-20,base_lgbm,10,10,settled_path,0.039095496752498037,-0.10804523010825662,0.0,1.0,0.039095496752498037,0.039095496752498037,0.039095496752498037,0.039095496752498037,-0.10804523010825662,settled_path,0,observed_path
2024-07-01,2024-07-02,2024-12-20,elasticnet_lgbm_equal,10,10,settled_path,0.14226405788364155,-0.08270513867803397,0.0,1.0,0.14226405788364155,0.14226405788364155,0.14226405788364155,0.14226405788364155,-0.08270513867803397,settled_path,0,observed_path
2024-07-01,2024-07-02,2024-12-20,elasticnet_lgbm_lstm_equal,10,10,settled_path,0.1421323830728518,-0.06252040496907829,0.0,1.0,0.1421323830728518,0.1421323830728518,0.1421323830728518,0.1421323830728518,-0.06252040496907829,settled_path,0,observed_path
2024-07-01,2024-07-02,2024-12-20,original_40_40_20,10,10,settled_path,0.0788235460995818,-0.07481134432215053,0.0,1.0,0.0788235460995818,0.0788235460995818,0.0788235460995818,0.0788235460995818,-0.07481134432215053,settled_path,0,observed_path
2024-07-01,2024-07-02,2024-12-20,cv_locked_relu_4model,10,10,unresolved_return,,,0.1,0.9983471074380166,0.04927688248414691,-0.0007231175158530889,-0.05072311751585309,-0.0007231175158530778,-0.0985370347986495,settled_path,1,loss50_terminal_scenario
2024-12-19,2024-12-20,2025-06-17,elasticnet,10,10,settled_path,0.013810081745367247,-0.14356534906533236,0.0,1.0,0.013810081745367247,0.013810081745367247,0.013810081745367247,0.013810081745367247,-0.14356534906533236,settled_path,0,observed_path
2024-12-19,2024-12-20,2025-06-17,base_lgbm,10,10,settled_path,0.05327873878163586,-0.15275040294728037,0.0,1.0,0.05327873878163586,0.05327873878163586,0.05327873878163586,0.05327873878163586,-0.15275040294728037,settled_path,0,observed_path
2024-12-19,2024-12-20,2025-06-17,elasticnet_lgbm_equal,10,10,settled_path,0.03530030390292581,-0.176747002611791,0.0,1.0,0.03530030390292581,0.03530030390292581,0.03530030390292581,0.03530030390292581,-0.176747002611791,settled_path,0,observed_path
2024-12-19,2024-12-20,2025-06-17,elasticnet_lgbm_lstm_equal,10,10,settled_path,0.02127395270334289,-0.17892934438184582,0.0,1.0,0.02127395270334289,0.02127395270334289,0.02127395270334289,0.02127395270334289,-0.17892934438184582,settled_path,0,observed_path
2024-12-19,2024-12-20,2025-06-17,original_40_40_20,10,10,settled_path,-0.013200590218597824,-0.11901527892761343,0.0,1.0,-0.013200590218597824,-0.013200590218597824,-0.013200590218597824,-0.013200590218597824,-0.11901527892761343,settled_path,0,observed_path
2024-12-19,2024-12-20,2025-06-17,cv_locked_relu_4model,10,10,settled_path,0.09748939379097517,-0.07901553161557462,0.0,1.0,0.09748939379097517,0.09748939379097517,0.09748939379097517,0.09748939379097517,-0.07901553161557462,settled_path,0,observed_path
2025-06-16,2025-06-17,2025-12-08,elasticnet,10,10,settled_path,0.0722528737241888,-0.05710191561684552,0.0,1.0,0.0722528737241888,0.0722528737241888,0.0722528737241888,0.0722528737241888,-0.05710191561684552,settled_path,0,observed_path
2025-06-16,2025-06-17,2025-12-08,base_lgbm,10,10,settled_path,-0.0872852049719841,-0.13210196367110183,0.0,1.0,-0.0872852049719841,-0.0872852049719841,-0.0872852049719841,-0.0872852049719841,-0.13210196367110183,settled_path,0,observed_path
2025-06-16,2025-06-17,2025-12-08,elasticnet_lgbm_equal,10,10,unresolved_return,,,0.1,0.9421487603305785,-0.011629810854467867,-0.06162981085446787,-0.11162981085446785,-0.061629810854467726,-0.08997011927184506,settled_path,1,loss50_terminal_scenario
2025-06-16,2025-06-17,2025-12-08,elasticnet_lgbm_lstm_equal,10,10,settled_path,0.014888305038092648,-0.04730389581754557,0.0,1.0,0.014888305038092648,0.014888305038092648,0.014888305038092648,0.014888305038092648,-0.04730389581754557,settled_path,0,observed_path
2025-06-16,2025-06-17,2025-12-08,original_40_40_20,10,10,unresolved_return,,,0.1,0.9173553719008265,0.004330603651943221,-0.04566939634805678,-0.09566939634805678,-0.04566939634805678,-0.09503720279660599,settled_path,1,loss50_terminal_scenario
2025-06-16,2025-06-17,2025-12-08,cv_locked_relu_4model,10,10,settled_path,0.0062344338211600065,-0.04991428689295374,0.0,1.0,0.0062344338211600065,0.0062344338211600065,0.0062344338211600065,0.0062344338211600065,-0.04991428689295374,settled_path,0,observed_path
2025-12-05,2025-12-08,2026-06-02,elasticnet,10,10,settled_path,-0.05058601359642736,-0.13275991149229371,0.0,1.0,-0.05058601359642736,-0.05058601359642736,-0.05058601359642736,-0.05058601359642736,-0.13275991149229371,settled_path,0,observed_path
2025-12-05,2025-12-08,2026-06-02,base_lgbm,10,10,settled_path,-0.003070746968060678,-0.13941435695465776,0.0,1.0,-0.003070746968060678,-0.003070746968060678,-0.003070746968060678,-0.003070746968060678,-0.13941435695465776,settled_path,0,observed_path
2025-12-05,2025-12-08,2026-06-02,elasticnet_lgbm_equal,10,10,settled_path,-0.030320996435955132,-0.13413459917702208,0.0,1.0,-0.030320996435955132,-0.030320996435955132,-0.030320996435955132,-0.030320996435955132,-0.13413459917702208,settled_path,0,observed_path
2025-12-05,2025-12-08,2026-06-02,elasticnet_lgbm_lstm_equal,10,10,settled_path,-0.030320996435955132,-0.13413459917702208,0.0,1.0,-0.030320996435955132,-0.030320996435955132,-0.030320996435955132,-0.030320996435955132,-0.13413459917702208,settled_path,0,observed_path
2025-12-05,2025-12-08,2026-06-02,original_40_40_20,10,10,unresolved_return,,,0.1,0.9677685950413223,-0.004642666347581828,-0.054642666347581824,-0.10464266634758183,-0.05464266634758164,-0.12261791306145498,settled_path,1,loss50_terminal_scenario
2025-12-05,2025-12-08,2026-06-02,cv_locked_relu_4model,10,10,settled_path,0.059069230940017724,-0.06298443276663424,0.0,1.0,0.059069230940017724,0.059069230940017724,0.059069230940017724,0.059069230940017724,-0.06298443276663424,settled_path,0,observed_path
