Date,k,silhouette,dbi,min_cluster_share
2016-06-24,2,0.4928713,0.7844817803443186,0.3034188034188034
2016-06-24,3,0.4746772,0.6846996940927973,0.017094017094017096
2016-06-24,4,0.43410453,0.7307201243230942,0.017094017094017096
2016-06-24,5,0.41073048,0.7488847341991327,0.017094017094017096
2016-06-24,6,0.44252226,0.6964441573182715,0.017094017094017096
2016-12-14,2,0.49248445,0.8206422372700592,0.2711864406779661
2016-12-14,3,0.4054445,0.8639651508717431,0.1038135593220339
2016-12-14,4,0.43358755,0.7998549493081051,0.07838983050847458
2016-12-14,5,0.39196563,0.8044429735120853,0.04025423728813559
2016-12-14,6,0.3702188,0.8206708570711481,0.029661016949152543
2017-06-08,2,0.44606218,0.8951567356665607,0.3920335429769392
2017-06-08,3,0.442065,0.9108844992696853,0.09014675052410902
2017-06-08,4,0.34749094,0.9374909017402238,0.06918238993710692
2017-06-08,5,0.3651835,0.848048628205507,0.05450733752620545
2017-06-08,6,0.36506495,0.856691551007327,0.03563941299790356
2017-11-28,2,0.43897715,1.0847230753513077,0.25
2017-11-28,3,0.3799175,0.8936053590830646,0.11554621848739496
2017-11-28,4,0.3939996,0.8269397734614901,0.1134453781512605
2017-11-28,5,0.41365293,0.7617037150259198,0.03571428571428571
2017-11-28,6,0.36013383,0.8012542565119244,0.02100840336134454
2018-05-22,2,0.38772422,0.9696626341727346,0.47107438016528924
2018-05-22,3,0.3999608,0.8948102050821706,0.14669421487603307
2018-05-22,4,0.4022304,0.8724180409439951,0.08264462809917356
2018-05-22,5,0.383235,0.8016441362205565,0.07644628099173553
2018-05-22,6,0.38739032,0.8268901318032186,0.01859504132231405
2018-11-09,2,0.4166788,0.929997717107947,0.3760330578512397
2018-11-09,3,0.39321208,0.882809749169185,0.16115702479338842
2018-11-09,4,0.35957596,0.9332338297703219,0.0640495867768595
2018-11-09,5,0.39093834,0.8110621583851645,0.05991735537190083
2018-11-09,6,0.389944,0.7891719188623328,0.014462809917355372
2019-05-07,2,0.47096664,0.8077404112593344,0.2727272727272727
2019-05-07,3,0.45546722,0.7547111722039345,0.1962809917355372
2019-05-07,4,0.42926478,0.8275379978412862,0.05785123966942149
2019-05-07,5,0.367224,0.9044044118364887,0.05785123966942149
2019-05-07,6,0.3892603,0.8088683117101957,0.03512396694214876
2019-10-25,2,0.45449418,0.8057249222715023,0.4405737704918033
2019-10-25,3,0.43531317,0.7628659915391259,0.20081967213114754
2019-10-25,4,0.3770244,0.8499022588746126,0.12090163934426229
2019-10-25,5,0.36963373,0.9038730743391767,0.0471311475409836
2019-10-25,6,0.39373836,0.8358162837674271,0.0471311475409836
2020-04-20,2,0.5503345,0.6811992543086463,0.27607361963190186
2020-04-20,3,0.46689573,0.6824827181792695,0.1165644171779141
2020-04-20,4,0.44314513,0.7029454389943399,0.065439672801636
2020-04-20,5,0.44427222,0.6823427726325233,0.04703476482617587
2020-04-20,6,0.4192585,0.7533177005383184,0.032719836400818
2020-10-08,2,0.54755837,0.6613232552183701,0.30284552845528456
2020-10-08,3,0.47033504,0.6889627454154353,0.16260162601626016
2020-10-08,4,0.4435439,0.6938628871139894,0.052845528455284556
2020-10-08,5,0.42301026,0.7340521318645906,0.04878048780487805
2020-10-08,6,0.38892427,0.81427097672705,0.04878048780487805
2021-04-01,2,0.49067894,0.7857574320394537,0.3103448275862069
2021-04-01,3,0.3878885,0.849204117707386,0.1724137931034483
2021-04-01,4,0.36186674,0.9002109963684275,0.09939148073022312
2021-04-01,5,0.3811388,0.8598487802342671,0.08113590263691683
2021-04-01,6,0.3661718,0.833548933256964,0.036511156186612576
2021-09-22,2,0.4904618,0.7776285991239786,0.34615384615384615
2021-09-22,3,0.401146,0.8174447903416119,0.19230769230769232
2021-09-22,4,0.39152345,0.8913383276860265,0.06882591093117409
2021-09-22,5,0.3806957,0.782455108495247,0.008097165991902834
2021-09-22,6,0.393346,0.7767062801213078,0.008097165991902834
2022-03-15,2,0.4902887,0.7797548318840378,0.3084677419354839
2022-03-15,3,0.42745468,0.7838693079252326,0.13306451612903225
2022-03-15,4,0.40173653,0.8183750092706588,0.11895161290322581
2022-03-15,5,0.4068607,0.7719040055213536,0.006048387096774193
2022-03-15,6,0.43377423,0.7811270236447742,0.020161290322580645
2022-09-06,2,0.5351387,0.7139635462855851,0.26464646464646463
2022-09-06,3,0.44845888,0.7358292448952621,0.12727272727272726
2022-09-06,4,0.42675412,0.7844417866372067,0.09292929292929293
2022-09-06,5,0.45025685,0.7047301911369985,0.05858585858585859
2022-09-06,6,0.42367086,0.7282706469490975,0.04040404040404041
2023-02-28,2,0.49281594,0.7670975868134723,0.3360323886639676
2023-02-28,3,0.44228676,0.7468177675005654,0.14979757085020243
2023-02-28,4,0.41672668,0.7682804590382888,0.05060728744939271
2023-02-28,5,0.40422037,0.8036251645329499,0.048582995951417005
2023-02-28,6,0.41832027,0.7661925245113458,0.0465587044534413
2023-08-21,2,0.5144083,0.755078784412176,0.26961770623742454
2023-08-21,3,0.41734883,0.7927587438050483,0.10462776659959759
2023-08-21,4,0.4101432,0.7861314985758053,0.052313883299798795
2023-08-21,5,0.39526662,0.8109853413127256,0.014084507042253521
2023-08-21,6,0.41056126,0.8273331187355168,0.014084507042253521
2024-02-12,2,0.48242635,0.8229918861623979,0.323943661971831
2024-02-12,3,0.4278909,0.8226762694951684,0.10261569416498995
2024-02-12,4,0.41294175,0.6401202708762309,0.002012072434607646
2024-02-12,5,0.36281815,0.7250649298679318,0.002012072434607646
2024-02-12,6,0.394489,0.7133177363871576,0.002012072434607646
2024-08-05,2,0.5541757,0.7993645155838496,0.22334004024144868
2024-08-05,3,0.43913093,0.822098522884637,0.07243460764587525
2024-08-05,4,0.43764743,0.8091902097481303,0.008048289738430584
2024-08-05,5,0.40180236,0.8173075743512855,0.008048289738430584
2024-08-05,6,0.41138875,0.8204850845727476,0.008048289738430584
2025-01-28,2,0.5304704,0.8475797169877479,0.20841683366733466
2025-01-28,3,0.49281132,0.7080185492203152,0.004008016032064128
2025-01-28,4,0.42468745,0.7703616408411922,0.004008016032064128
2025-01-28,5,0.3801892,0.7547827397685312,0.002004008016032064
2025-01-28,6,0.40247235,0.7473675051472698,0.004008016032064128
2025-07-22,2,0.4965963,0.74585996320172,0.37751004016064255
2025-07-22,3,0.47403166,0.7424293265316213,0.13654618473895583
2025-07-22,4,0.40682244,0.8318788846472173,0.07028112449799197
2025-07-22,5,0.4011144,0.8787514584668559,0.018072289156626505
2025-07-22,6,0.3884305,0.8121838191965876,0.014056224899598393
2026-01-12,2,0.55819345,0.7706518964978019,0.21686746987951808
2026-01-12,3,0.44362932,0.8402638702078565,0.0963855421686747
2026-01-12,4,0.39100084,0.945012274934433,0.04819277108433735
2026-01-12,5,0.41271114,0.8390898545887133,0.04216867469879518
2026-01-12,6,0.3963514,0.7284183115860615,0.002008032128514056
