horizon,fold,Date,scope,train_rows,max_train_label_end,max_label_available,daily_ic,ic_std,ic_ir,hit_rate,q_spread,q_spread_available,q_spread_settled_days,overall_ic,n_days,n_obs,n_input,n_missing_evaluation,evaluation_coverage
20,1,2024-07-01,all_train,194621,2024-06-24,2024-06-24,0.15661817184035945,,,1.0,0.03678617278921742,0.03678617278921742,1,0.15661817184035945,1,350,350,0,1.0
20,1,2024-07-01,stable_train,79551,2024-06-24,2024-06-24,-0.0764360040777256,,,0.0,-0.016001456791369238,-0.016001456791369238,1,-0.0764360040777256,1,350,350,0,1.0
20,2,2024-07-30,all_train,196609,2024-07-23,2024-07-23,-0.014510981468533838,,,0.0,-0.0037996829179083817,-0.0037996829179083817,1,-0.014510981468533838,1,273,273,0,1.0
20,2,2024-07-30,stable_train,80890,2024-07-23,2024-07-23,0.08989114659875468,,,1.0,0.015657465790299335,0.015657465790299335,1,0.08989114659875468,1,273,273,0,1.0
20,3,2024-08-27,all_train,198597,2024-08-20,2024-08-20,-0.0928084436136778,,,0.0,-0.019118482146094427,-0.019118482146094427,1,-0.0928084436136778,1,261,261,0,1.0
20,3,2024-08-27,stable_train,82249,2024-08-20,2024-08-20,-0.009044108185325892,,,0.0,0.004570863752517333,0.004570863752517333,1,-0.009044108185325892,1,261,261,0,1.0
20,4,2024-09-25,all_train,200585,2024-09-18,2024-09-18,-0.11175044016409026,,,0.0,-0.018377065680065835,-0.018377065680065835,1,-0.11175044016409026,1,276,276,0,1.0
20,4,2024-09-25,stable_train,83342,2024-09-18,2024-09-18,-0.04315542506736239,,,0.0,-0.007507574038330296,-0.007507574038330296,1,-0.04315542506736239,1,276,276,0,1.0
20,5,2024-10-23,all_train,202574,2024-10-16,2024-10-16,-0.2610533642891784,,,0.0,-0.057443373870071604,-0.057443373870071604,1,-0.2610533642891784,1,249,249,0,1.0
20,5,2024-10-23,stable_train,84394,2024-10-16,2024-10-16,-0.18781486782746884,,,0.0,-0.04505662458718045,-0.04505662458718045,1,-0.18781486782746884,1,249,249,0,1.0
20,6,2024-11-20,all_train,204567,2024-11-13,2024-11-13,0.018748929227577447,,,1.0,,0.008504013151500234,0,0.018748929227577447,1,267,269,2,0.9925650557620818
20,6,2024-11-20,stable_train,85496,2024-11-13,2024-11-13,-0.007060589206433914,,,0.0,-0.001159252496101007,-0.001159252496101007,1,-0.007060589206433914,1,267,269,2,0.9925650557620818
20,7,2024-12-19,all_train,206559,2024-12-12,2024-12-12,0.08335086044661957,,,1.0,0.011727062579987412,0.011727062579987412,1,0.08335086044661957,1,364,364,0,1.0
20,7,2024-12-19,stable_train,86857,2024-12-12,2024-12-12,0.14918200423482472,,,1.0,0.02172896998679715,0.02172896998679715,1,0.14918200423482472,1,364,364,0,1.0
20,8,2025-01-22,all_train,208551,2025-01-14,2025-01-14,0.1531954094531212,,,1.0,0.029955170421869827,0.029955170421869827,1,0.1531954094531212,1,361,361,0,1.0
20,8,2025-01-22,stable_train,88026,2025-01-14,2025-01-14,-0.06203672329509573,,,0.0,-0.017084599851726168,-0.017084599851726168,1,-0.06203672329509573,1,361,361,0,1.0
20,9,2025-02-20,all_train,210545,2025-02-12,2025-02-12,0.03780079451884904,,,1.0,0.012476835266050833,0.012476835266050833,1,0.03780079451884904,1,363,363,0,1.0
20,9,2025-02-20,stable_train,89473,2025-02-12,2025-02-12,0.11262854301165894,,,1.0,0.03127488506628498,0.03127488506628498,1,0.11262854301165894,1,363,363,0,1.0
20,10,2025-03-20,all_train,212541,2025-03-13,2025-03-13,-0.2604550444952439,,,0.0,-0.06310026047012979,-0.06310026047012979,1,-0.2604550444952439,1,306,306,0,1.0
20,10,2025-03-20,stable_train,90928,2025-03-13,2025-03-13,0.10515683094284971,,,1.0,0.024276601337766813,0.024276601337766813,1,0.10515683094284971,1,306,306,0,1.0
20,11,2025-04-17,all_train,214537,2025-04-10,2025-04-10,0.24506894537500507,,,1.0,0.03741683455398562,0.03741683455398562,1,0.24506894537500507,1,245,245,0,1.0
