split,model,recall,f1,pr_auc,roc_auc
validation,Logistic,0.24161073825503357,0.37017994858611825,0.6412044282335367,0.776562363810686
validation,RandomForest,0.3187919463087248,0.4398148148148148,0.65929133508827,0.8039769700843526
validation,HistGradientBoosting,0.3422818791946309,0.4584269662921348,0.647844220566751,0.7974786213041247
test,HistGradientBoosting,0.5302013422818792,0.5984848484848485,0.6894590036732471,0.813206368575496
