Date,fold,epoch,validation_loss
2024-07-01,1,1,0.46344563364982605
2024-07-01,1,2,0.46042534708976746
2024-07-01,1,3,0.4586454927921295
2024-07-01,1,4,0.46148237586021423
2024-07-01,1,5,0.4601920247077942
2024-07-01,1,6,0.4603952169418335
2024-12-19,2,1,0.44586315751075745
2024-12-19,2,2,0.44146066904067993
2024-12-19,2,3,0.4459386169910431
2024-12-19,2,4,0.44773587584495544
2024-12-19,2,5,0.44945594668388367
2025-06-16,3,1,0.4476168751716614
2025-06-16,3,2,0.4461771249771118
2025-06-16,3,3,0.44537481665611267
2025-06-16,3,4,0.4468514323234558
2025-06-16,3,5,0.44956308603286743
2025-06-16,3,6,0.44872426986694336
2025-12-05,4,1,0.5189641714096069
2025-12-05,4,2,0.5263271331787109
2025-12-05,4,3,0.5252023339271545
2025-12-05,4,4,0.5255348682403564
