stability_group,rows,dates,mean_future_vol,mean_future_mdd,mdd_breach,future_risky_rate
Middle,4218,20,0.31848715391508786,-0.19440188657627835,0.5988620199146515,0.3309625414888573
Risky,1218,20,0.47342473406721675,-0.28102523557766174,0.8275862068965517,0.7996715927750411
Stable,4281,20,0.24550095122513688,-0.15422108320325542,0.4204625087596356,0.12824106517168885
