fold,Date,epoch,validation_loss
1,2024-07-01,1,0.46344563364982605
1,2024-07-01,2,0.46042534708976746
1,2024-07-01,3,0.4586454927921295
1,2024-07-01,4,0.46148237586021423
1,2024-07-01,5,0.4601920247077942
1,2024-07-01,6,0.4603952169418335
2,2024-12-19,1,0.44586315751075745
2,2024-12-19,2,0.44146066904067993
2,2024-12-19,3,0.4459386169910431
2,2024-12-19,4,0.44773587584495544
2,2024-12-19,5,0.44945594668388367
3,2025-06-16,1,0.4476168751716614
3,2025-06-16,2,0.4461771249771118
3,2025-06-16,3,0.44537481665611267
3,2025-06-16,4,0.4468514323234558
3,2025-06-16,5,0.44956308603286743
3,2025-06-16,6,0.44872426986694336
4,2025-12-05,1,0.5189641714096069
4,2025-12-05,2,0.5263271331787109
4,2025-12-05,3,0.5252023339271545
4,2025-12-05,4,0.5255348682403564
