Date,policy,selected,false_stable_rate,mean_future_mdd
2016-06-24,volatility_only,250,0.152,-0.13199995671687323
2016-06-24,beta_only,250,0.236,-0.14175903835112227
2016-06-24,canonical_2d_kmeans,250,0.192,-0.13654077407987342
2016-12-14,volatility_only,222,0.07207207207207207,-0.07795792817486688
2016-12-14,beta_only,222,0.13513513513513514,-0.09179217619749346
2016-12-14,canonical_2d_kmeans,222,0.0945945945945946,-0.08367034175186941
2017-06-08,volatility_only,267,0.13857677902621723,-0.10049739553735108
2017-06-08,beta_only,267,0.26591760299625467,-0.12136969348409435
2017-06-08,canonical_2d_kmeans,267,0.2209737827715356,-0.11147082848834002
2017-11-28,volatility_only,250,0.128,-0.155140329258905
2017-11-28,beta_only,250,0.264,-0.17412361969526513
2017-11-28,canonical_2d_kmeans,250,0.188,-0.16405256786738226
2018-05-22,volatility_only,145,0.04827586206896552,-0.1250232373780418
2018-05-22,beta_only,145,0.0896551724137931,-0.13372262396468687
2018-05-22,canonical_2d_kmeans,145,0.05517241379310345,-0.1259898447055335
2018-11-09,volatility_only,145,0.04827586206896552,-0.14938966861167025
2018-11-09,beta_only,145,0.1310344827586207,-0.15358144529274073
2018-11-09,canonical_2d_kmeans,145,0.08275862068965517,-0.14727271832717576
2019-05-07,volatility_only,121,0.0,-0.09130718435672892
2019-05-07,beta_only,121,0.03305785123966942,-0.09866419247548285
2019-05-07,canonical_2d_kmeans,121,0.01652892561983471,-0.09184042093863427
2019-10-25,volatility_only,153,0.1503267973856209,-0.3896509752631323
2019-10-25,beta_only,153,0.16339869281045752,-0.38018915804414705
2019-10-25,canonical_2d_kmeans,153,0.16993464052287582,-0.3851576318601456
2020-04-20,volatility_only,221,0.049773755656108594,-0.14348324386311959
2020-04-20,beta_only,221,0.08597285067873303,-0.14877044703000708
2020-04-20,canonical_2d_kmeans,221,0.07239819004524888,-0.14671482726165108
2020-10-08,volatility_only,205,0.0975609756097561,-0.13889276675986406
2020-10-08,beta_only,205,0.15609756097560976,-0.14690137879017498
2020-10-08,canonical_2d_kmeans,205,0.14146341463414633,-0.14587316827270214
2021-04-01,volatility_only,179,0.0223463687150838,-0.09980049921939091
2021-04-01,beta_only,179,0.11173184357541899,-0.11664951587268349
2021-04-01,canonical_2d_kmeans,179,0.0446927374301676,-0.10414657896433878
2021-09-22,volatility_only,192,0.0625,-0.17092382818919696
2021-09-22,beta_only,192,0.140625,-0.17798322884501547
2021-09-22,canonical_2d_kmeans,192,0.09895833333333333,-0.17018259558388957
2022-03-15,volatility_only,210,0.0380952380952381,-0.20251422587153464
2022-03-15,beta_only,210,0.1380952380952381,-0.2091960098399118
2022-03-15,canonical_2d_kmeans,210,0.09047619047619047,-0.20379886772580888
2022-09-06,volatility_only,211,0.04739336492890995,-0.16017710024715356
2022-09-06,beta_only,211,0.13744075829383887,-0.1726609589489886
2022-09-06,canonical_2d_kmeans,211,0.08056872037914692,-0.1655246528935301
2023-02-28,volatility_only,182,0.12637362637362637,-0.13388630578508404
2023-02-28,beta_only,182,0.16483516483516483,-0.14487937335351295
2023-02-28,canonical_2d_kmeans,182,0.13736263736263737,-0.1371424310418966
2023-08-21,volatility_only,233,0.0944206008583691,-0.1352834057707177
2023-08-21,beta_only,233,0.15450643776824036,-0.1427105997622339
2023-08-21,canonical_2d_kmeans,233,0.12446351931330472,-0.13877214859257025
2024-02-12,volatility_only,233,0.0815450643776824,-0.12720813457557612
2024-02-12,beta_only,233,0.13733905579399142,-0.14147726302124994
2024-02-12,canonical_2d_kmeans,233,0.12446351931330472,-0.13513129156601564
2024-08-05,volatility_only,278,0.12589928057553956,-0.141290441775119
2024-08-05,beta_only,278,0.21223021582733814,-0.15631981940961695
2024-08-05,canonical_2d_kmeans,278,0.17266187050359713,-0.15147761396743997
2025-01-28,volatility_only,355,0.14366197183098592,-0.19768228884354133
2025-01-28,beta_only,355,0.18309859154929578,-0.20033658208969563
2025-01-28,canonical_2d_kmeans,355,0.16619718309859155,-0.19765378311105508
2025-07-22,volatility_only,229,0.07860262008733625,-0.14423955314891565
2025-07-22,beta_only,229,0.1615720524017467,-0.15863685966263721
2025-07-22,canonical_2d_kmeans,229,0.1222707423580786,-0.15128246462334197
