horizon,fold,Date,EntryDate,ExitDate,strategy,top_n,selected,status,return_settled,mdd,missing_weight,path_coverage,assumption_flat,assumption_loss50,assumption_loss100
20,1,2024-07-01,2024-07-02,2024-07-31,lowvol,10,10,settled_path,0.04476630450508347,-0.02052449610644491,0.0,1.0,0.04476630450508347,0.04476630450508347,0.04476630450508347
20,1,2024-07-01,2024-07-02,2024-07-31,stable_lowvol,10,10,settled_path,0.04476630450508347,-0.02052449610644491,0.0,1.0,0.04476630450508347,0.04476630450508347,0.04476630450508347
20,1,2024-07-01,2024-07-02,2024-07-31,all_train,10,10,settled_path,0.0707151509213628,-0.04266264314457735,0.0,1.0,0.0707151509213628,0.0707151509213628,0.0707151509213628
20,1,2024-07-01,2024-07-02,2024-07-31,stable_train,10,10,settled_path,0.046385568207587255,-0.03055602882738695,0.0,1.0,0.046385568207587255,0.046385568207587255,0.046385568207587255
20,2,2024-07-30,2024-07-31,2024-08-28,lowvol,10,10,settled_path,0.049624772326659974,-0.01568700978822979,0.0,1.0,0.049624772326659974,0.049624772326659974,0.049624772326659974
20,2,2024-07-30,2024-07-31,2024-08-28,stable_lowvol,10,10,settled_path,0.049624772326659974,-0.01568700978822979,0.0,1.0,0.049624772326659974,0.049624772326659974,0.049624772326659974
20,2,2024-07-30,2024-07-31,2024-08-28,all_train,10,10,settled_path,0.009476793068068442,-0.044084712232434264,0.0,1.0,0.009476793068068442,0.009476793068068442,0.009476793068068442
20,2,2024-07-30,2024-07-31,2024-08-28,stable_train,10,10,settled_path,0.027878691348020512,-0.04946106616092649,0.0,1.0,0.027878691348020512,0.027878691348020512,0.027878691348020512
20,3,2024-08-27,2024-08-28,2024-09-26,lowvol,10,10,settled_path,0.006065672024073399,-0.01685673050568759,0.0,1.0,0.006065672024073399,0.006065672024073399,0.006065672024073399
20,3,2024-08-27,2024-08-28,2024-09-26,stable_lowvol,10,10,settled_path,0.006065672024073399,-0.01685673050568759,0.0,1.0,0.006065672024073399,0.006065672024073399,0.006065672024073399
20,3,2024-08-27,2024-08-28,2024-09-26,all_train,10,10,settled_path,-0.00391576417112338,-0.04762748701120767,0.0,1.0,-0.00391576417112338,-0.00391576417112338,-0.00391576417112338
20,3,2024-08-27,2024-08-28,2024-09-26,stable_train,10,10,settled_path,0.005071864867282306,-0.02944607968652313,0.0,1.0,0.005071864867282306,0.005071864867282306,0.005071864867282306
20,4,2024-09-25,2024-09-26,2024-10-24,lowvol,10,10,settled_path,-0.0009401432143156154,-0.017948604647325284,0.0,1.0,-0.0009401432143156154,-0.0009401432143156154,-0.0009401432143156154
20,4,2024-09-25,2024-09-26,2024-10-24,stable_lowvol,10,10,settled_path,-0.0009401432143156154,-0.017948604647325284,0.0,1.0,-0.0009401432143156154,-0.0009401432143156154,-0.0009401432143156154
20,4,2024-09-25,2024-09-26,2024-10-24,all_train,10,10,settled_path,0.017150934353985372,-0.06388017651301536,0.0,1.0,0.017150934353985372,0.017150934353985372,0.017150934353985372
20,4,2024-09-25,2024-09-26,2024-10-24,stable_train,10,10,settled_path,-0.01394850947913967,-0.04750693920423654,0.0,1.0,-0.01394850947913967,-0.01394850947913967,-0.01394850947913967
20,5,2024-10-23,2024-10-24,2024-11-21,lowvol,10,10,settled_path,-0.01757232831447301,-0.037806271860654106,0.0,1.0,-0.01757232831447301,-0.01757232831447301,-0.01757232831447301
20,5,2024-10-23,2024-10-24,2024-11-21,stable_lowvol,10,10,settled_path,-0.01757232831447301,-0.037806271860654106,0.0,1.0,-0.01757232831447301,-0.01757232831447301,-0.01757232831447301
20,5,2024-10-23,2024-10-24,2024-11-21,all_train,10,10,settled_path,-0.015169483269503728,-0.04753726248090906,0.0,1.0,-0.015169483269503728,-0.015169483269503728,-0.015169483269503728
20,5,2024-10-23,2024-10-24,2024-11-21,stable_train,10,10,settled_path,-0.031462285911843614,-0.05045358926048138,0.0,1.0,-0.031462285911843614,-0.031462285911843614,-0.031462285911843614
20,6,2024-11-20,2024-11-21,2024-12-20,lowvol,10,10,unresolved_return,,,0.1,0.9904761904761905,-0.023784967099684473,-0.07378496709968448,-0.12378496709968448
20,6,2024-11-20,2024-11-21,2024-12-20,stable_lowvol,10,10,unresolved_return,,,0.1,0.9904761904761905,-0.023784967099684473,-0.07378496709968448,-0.12378496709968448
20,6,2024-11-20,2024-11-21,2024-12-20,all_train,10,10,settled_path,-0.05952004394358259,-0.10042114862279583,0.0,1.0,-0.05952004394358259,-0.05952004394358259,-0.05952004394358259
20,6,2024-11-20,2024-11-21,2024-12-20,stable_train,10,10,settled_path,-0.053336030492901775,-0.08594207226970807,0.0,1.0,-0.053336030492901775,-0.053336030492901775,-0.053336030492901775
20,7,2024-12-19,2024-12-20,2025-01-23,lowvol,10,10,settled_path,0.013939989915221277,-0.023283907462754994,0.0,1.0,0.013939989915221277,0.013939989915221277,0.013939989915221277
20,7,2024-12-19,2024-12-20,2025-01-23,stable_lowvol,10,10,settled_path,0.013939989915221277,-0.023283907462754994,0.0,1.0,0.013939989915221277,0.013939989915221277,0.013939989915221277
20,7,2024-12-19,2024-12-20,2025-01-23,all_train,10,10,settled_path,0.043059757161473214,-0.02995635491120463,0.0,1.0,0.043059757161473214,0.043059757161473214,0.043059757161473214
